;Framework;Dataset;Input size;Batch size;Mode;Device;Time;Memory
0;pytorch1;bank;(128, 155, 2);128;train;cpu;0.8114984154701232;-
1;tf2;bank;(128, 155, 2);128;train;cpu;1.247963285446167;-
2;tf2;bank;(128, 155, 2);64;train;cpu;1.2661237676938375;-
3;tf2;bank;(128, 155, 2);32;train;cpu;1.7008656819661458;-
4;pytorch2;moia;(64, 36, 2);64;train;cpu;0.2090268532435099;-
5;pytorch2;moia;(32, 36, 2);32;train;cpu;0.2222196022669474;-
6;pytorch2;moia;(128, 36, 2);128;train;cpu;0.1693085193634033;-
7;pytorch1;moia;(32, 36, 2);32;train;cpu;0.5384246826171875;-
8;pytorch1;moia;(64, 36, 2);64;train;cpu;0.4322744488716125;-
9;pytorch1;moia;(128, 36, 2);128;train;cpu;0.4690456032752991;-
10;tf2;moia;(128, 155, 2);32;train;cpu;0.7348692337671916;-
11;tf2;moia;(128, 155, 2);64;train;cpu;0.5394784291585286;-
12;tf2;moia;(128, 155, 2);128;train;cpu;0.599743370215098;-
13;pytorch1;bank;(64, 155, 2);64;train;cpu;0.7982115030288697;-
14;pytorch1;bank;(32, 155, 2);32;train;cpu;0.8550963044166565;-
15;pytorch2;bank;(32, 155, 2);32;train;cpu;0.3210276365280151;-
16;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2738932291666666;-
17;pytorch2;bank;(128, 155, 2);128;train;cpu;0.2982645630836487;-
18;pytorch1;bank;(32, 155, 2);32;train;cpu;0.7969050645828247;-
19;pytorch1;bank;(32, 155, 2);32;train;cpu;0.8344161510467529;-
20;pytorch1;bank;(32, 155, 2);32;train;cpu;0.7884110808372498;-
21;pytorch1;bank;(64, 155, 2);64;train;cpu;0.7510550697644551;-
22;pytorch1;bank;(128, 155, 2);128;train;cpu;0.8075348655382792;-
23;pytorch2;bank;(32, 155, 2);32;train;cpu;0.2728448828061421;7.8431746031746
24;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2486851851145426;14.011874999999995
25;pytorch2;bank;(128, 155, 2);128;train;cpu;0.2796813686688741;30.389999999999997
26;pytorch2;moia;(32, 36, 2);32;train;cpu;0.1866395672162374;1.9434567901234565
27;pytorch2;moia;(64, 36, 2);64;train;cpu;0.1589820504188537;3.981728395061728
28;pytorch2;moia;(128, 36, 2);128;train;cpu;0.1667357524236043;7.3946341463414615
29;pytorch2;bank;(32, 155, 2);32;train;cpu;0.2566212018330892;64.03349206349209
30;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2492121974627177;64.20375000000011
31;pytorch2;bank;(128, 155, 2);128;train;cpu;0.3124055862426758;64.85062500000012
32;pytorch2;moia;(32, 36, 2);32;train;cpu;0.1707280158996582;64.80154320987828
33;pytorch2;moia;(64, 36, 2);64;train;cpu;0.1553751667340596;64.9440740740745
34;pytorch2;moia;(128, 36, 2);128;train;cpu;0.1471434315045674;65.07585365853616
35;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2385118166605631;63.46812500000019
36;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2355738321940104;63.2340625000003
37;tf2;bank;(128, 155, 2);64;train;cpu;1.1866575678189597;-
38;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2677409052848816;63.2306249999999
39;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2314148187637329;62.82031249999977
40;tf2;bank;(128, 155, 2);64;train;cpu;1.245111048221588;3.1
41;pytorch2;bank;(32, 155, 2);32;train;cpu;42.35163571834564;4.2319047619047625
42;pytorch1;bank;(64, 155, 2);64;train;cpu;0.7102671504020691;4.688750000000001
43;pytorch1;bank;(32, 155, 2);32;train;cpu;0.7517436663309733;2.775238095238095
44;pytorch1;bank;(64, 155, 2);64;train;cpu;0.70645751953125;5.497187500000002
45;pytorch1;bank;(128, 155, 2);128;train;cpu;0.7448362668355306;6.384375
46;pytorch2;bank;(32, 155, 2);32;train;cpu;0.2330910046895345;6.58920634920635
47;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2352033813794453;16.201874999999998
48;pytorch2;bank;(128, 155, 2);128;train;cpu;0.2744275490442912;27.836874999999992
49;tf2;bank;(128, 155, 2);32;train;cpu;1.6334431648254395;0.9
50;tf2;bank;(128, 155, 2);64;train;cpu;1.2005560676256817;2.5
51;tf2;bank;(128, 155, 2);128;train;cpu;1.2685182174046834;1.5
52;pytorch2;bank;(64, 155, 2);64;inference_cpu;cpu;0.0191377162933349;
53;pytorch2;bank;(32, 155, 2);32;inference_cpu;cpu;0.0144603967666625;
54;pytorch2;bank;(128, 155, 2);128;inference_cpu;cpu;0.0366784811019897;
55;pytorch1;bank;(32, 155, 2);32;inference_cpu;cpu;0.0242016077041625;
56;pytorch1;bank;(64, 155, 2);64;inference_cpu;cpu;0.0427137374877929;
57;pytorch1;bank;(128, 155, 2);128;inference_cpu;cpu;0.08833436965942383;
