;Framework;Dataset;Input size;Batch size;Mode;Device;Time;Memory
0;pytorch1;bank;(128, 155, 2);128;train;cpu;0.8114984154701232;-
1;pytorch1;bank;(64, 155, 2);64;train;cpu;0.7982115030288697;-
2;pytorch1;bank;(32, 155, 2);32;train;cpu;0.8550963044166565;-
3;tf2;bank;(128, 155, 2);64;train;cpu;0.2047900597254435;8.0
4;tf2;bank;(128, 155, 2);128;train;cpu;0.1770882884661356;8.6
5;tf2;bank;(128, 155, 2);32;train;cpu;0.259900947411855;12.0
6;pytorch2;bank;(32, 155, 2);32;train;cpu;0.3210276365280151;-
7;pytorch2;bank;(64, 155, 2);64;train;cpu;0.2738932291666666;-
8;pytorch2;bank;(128, 155, 2);128;train;cpu;0.2982645630836487;-
9;pytorch2;moia;(64, 36, 2);64;train;cpu;0.2090268532435099;-
10;pytorch2;moia;(32, 36, 2);32;train;cpu;0.2222196022669474;-
11;pytorch2;moia;(128, 36, 2);128;train;cpu;0.1693085193634033;-
12;pytorch1;moia;(32, 36, 2);32;train;cpu;0.5384246826171875;-
13;pytorch1;moia;(64, 36, 2);64;train;cpu;0.4322744488716125;-
14;pytorch1;moia;(128, 36, 2);128;train;cpu;0.4690456032752991;-
15;tf2;moia;(128, 155, 2);32;train;cpu;0.1586735685666402;7.4
16;tf2;moia;(128, 155, 2);64;train;cpu;0.1438855648040771;10.8
17;tf2;moia;(128, 155, 2);128;train;cpu;0.1303773323694864;12.7
18;pytorch1;cdnow;(32, 37, 2);32;train;cpu;0.2969725886980692;2.538612368024132
19;pytorch1;cdnow;(64, 37, 2);64;train;cpu;0.2606182297070821;4.986445783132531
20;pytorch1;cdnow;(128, 37, 2);128;train;cpu;0.2432037671407063;6.380722891566267
21;pytorch2;cdnow;(32, 37, 2);32;train;cpu;0.6787238160769145;11.44419306184012
22;pytorch2;cdnow;(64, 37, 2);64;train;cpu;0.4124202489852905;17.52530120481927
23;pytorch2;cdnow;(128, 37, 2);128;train;cpu;0.307280151049296;33.31325301204819
24;tf2;cdnow;(128, 155, 2);128;train;cpu;0.2027354677518208;21.3
25;tf2;cdnow;(128, 155, 2);64;train;cpu;0.2366368691126505;8.3
26;tf2;cdnow;(128, 155, 2);32;train;cpu;0.3089248776435852;18.4
27;pytorch1;grocery;(32, 56, 2);32;train;cpu;0.0285714983940124;6.76279069767442
28;pytorch1;grocery;(64, 56, 2);64;train;cpu;0.0247667829195658;11.1
29;pytorch1;grocery;(128, 56, 2);128;train;cpu;0.0240136663118998;14.927272727272726
30;pytorch2;grocery;(32, 56, 2);32;train;cpu;0.0524665196736653;16.990697674418605
31;pytorch2;grocery;(64, 56, 2);64;train;cpu;0.0376759966214497;27.87727272727273
32;pytorch2;grocery;(128, 56, 2);128;train;cpu;0.0271971146265665;45.809090909090905
33;tf2;grocery;(128, 155, 2);32;train;cpu;0.1174337148666381;7.7
34;tf2;grocery;(128, 155, 2);64;train;cpu;0.114437448978424;14.6
35;tf2;grocery;(128, 155, 2);128;train;cpu;0.1083842158317565;7.3
36;tf2;retail;(128, 155, 2);128;train;cpu;0.1483125487963358;9.2
37;tf2;retail;(128, 155, 2);64;train;cpu;0.1602908333142598;9.4
38;tf2;retail;(128, 155, 2);32;train;cpu;0.1853411674499511;12.1
39;pytorch1;retail;(32, 51, 2);32;train;cpu;0.2328650673230489;9.067261904761903
40;pytorch1;retail;(64, 51, 2);64;train;cpu;0.2174519499142964;14.097619047619052
41;pytorch1;retail;(128, 51, 2);128;train;cpu;0.2091452320416768;14.864285714285714
42;pytorch2;retail;(32, 51, 2);32;train;cpu;0.24459255139033;20.19285714285713
43;pytorch2;retail;(64, 51, 2);64;train;cpu;0.1682363033294677;34.047619047619044
44;pytorch2;retail;(128, 51, 2);128;train;cpu;0.1276531497637431;41.28333333333334
