;Framework;Dataset;Input size;Batch size;Mode;Device;Time_mean;Time_min;Time_std;Memory
0;pytorch1;bank;(32, 155, 2);32;inference_cpu;cpu;0.0816659484590802;0.0530080795288085;0.0121189956921874;
1;pytorch1;bank;(64, 155, 2);64;inference_cpu;cpu;0.1233459830284118;0.0683081150054931;0.0321503307180864;
2;pytorch1;bank;(128, 155, 2);128;inference_cpu;cpu;0.211805772781372;0.1775691509246826;0.0269970269024292;
3;pytorch1;moia;(32, 36, 2);32;inference_cpu;cpu;0.0195329083336724;0.0099971294403076;0.0038044343804504;
4;pytorch1;moia;(64, 36, 2);64;inference_cpu;cpu;0.0294915702607896;0.0171949863433837;0.0042013515943089;
5;pytorch1;moia;(128, 36, 2);128;inference_cpu;cpu;0.0516871738433837;0.0241878032684326;0.0144269647009693;
6;pytorch1;cdnow;(32, 37, 2);32;inference_cpu;cpu;0.0199862280407467;0.0082089900970458;0.0034261959875753;
7;pytorch1;cdnow;(64, 37, 2);64;inference_cpu;cpu;0.0303323616852631;0.0170328617095947;0.004081844960307;
8;pytorch1;cdnow;(128, 37, 2);128;inference_cpu;cpu;0.0570735329075863;0.0191657543182373;0.0101026437215315;
9;pytorch1;grocery;(32, 56, 2);32;inference_cpu;cpu;0.0288128471374511;0.0217909812927246;0.004550834224189;
10;pytorch1;grocery;(64, 56, 2);64;inference_cpu;cpu;0.0381465752919515;0.0193920135498046;0.0097231505107051;
11;pytorch1;grocery;(128, 56, 2);128;inference_cpu;cpu;0.0550363421440124;0.0126669406890869;0.0331893856755028;
12;pytorch1;retail;(32, 51, 2);32;inference_cpu;cpu;0.0310269293032194;0.0167939662933349;0.005276664184652;
13;pytorch1;retail;(64, 51, 2);64;inference_cpu;cpu;0.0456490683555603;0.0185291767120361;0.0093316381875835;
14;pytorch1;retail;(128, 51, 2);128;inference_cpu;cpu;0.0804986810684204;0.0584480762481689;0.0107327779882614;
15;pytorch2;bank;(32, 155, 2);32;inference_cpu;cpu;0.0604805946350097;0.0413498878479003;0.0095813043899289;
16;pytorch2;bank;(64, 155, 2);64;inference_cpu;cpu;0.0749769747257232;0.0414800643920898;0.0173492366818667;
17;pytorch2;bank;(128, 155, 2);128;inference_cpu;cpu;0.0757535219192504;0.0656650066375732;0.0074985879440468;
18;pytorch2;moia;(32, 36, 2);32;inference_cpu;cpu;0.0145884341663784;0.004267930984497;0.0032119531346726;
19;pytorch2;moia;(64, 36, 2);64;inference_cpu;cpu;0.0216526561313205;0.0109670162200927;0.0066907295636332;
20;pytorch2;moia;(128, 36, 2);128;inference_cpu;cpu;0.0287774467468261;0.0127561092376708;0.010038852447916;
21;pytorch2;cdnow;(32, 37, 2);32;inference_cpu;cpu;0.0150568527144354;0.0039119720458984;0.0031840504767298;
22;pytorch2;cdnow;(64, 37, 2);64;inference_cpu;cpu;0.0225542674193511;0.0068039894104003;0.0034330293025592;
23;pytorch2;cdnow;(128, 37, 2);128;inference_cpu;cpu;0.037406533642819;0.0129287242889404;0.0090442510132452;
24;pytorch2;grocery;(32, 56, 2);32;inference_cpu;cpu;0.0217899799346923;0.0062029361724853;0.0064317982079048;
25;pytorch2;grocery;(64, 56, 2);64;inference_cpu;cpu;0.0258808930714925;0.0161080360412597;0.0070372010330521;
26;pytorch2;grocery;(128, 56, 2);128;inference_cpu;cpu;0.0295920014381408;0.0164251327514648;0.0135944734521822;
27;pytorch2;retail;(32, 51, 2);32;inference_cpu;cpu;0.0256145540036653;0.0150048732757568;0.0048822441447606;
28;pytorch2;retail;(64, 51, 2);64;inference_cpu;cpu;0.0337868452072143;0.0094273090362548;0.0076711668458672;
29;pytorch2;retail;(128, 51, 2);128;inference_cpu;cpu;0.052888102531433105;0.023121118545532227;0.01926430342358622;
