;Framework;Dataset;Input size;Batch size;Mode;Device;Time_mean;Time_min;Time_std;Memory
0;pytorch2;bank;(32, 155, 2);32;train;mps;1.5175365447998046;1.4649510383605957;0.1398806290943288;1.6604761904761904
1;pytorch2;bank;(64, 155, 2);64;train;mps;1.2428280353546142;1.189216136932373;0.143668739224536;2.095624999999999
2;pytorch2;bank;(128, 155, 2);128;train;mps;1.1548965454101563;1.0905649662017822;0.1341359253374364;2.2699999999999987
3;pytorch2;moia;(32, 36, 2);32;train;mps;2.208680319786072;2.1141581535339355;0.2478052505509266;1.1453086419753078
4;pytorch2;moia;(64, 36, 2);64;train;mps;1.2305644512176517;1.159065008163452;0.1569535878269772;1.2171604938271607
5;pytorch2;moia;(128, 36, 2);128;train;mps;0.7457030773162842;0.6681039333343506;0.169261259874263;1.655365853658537
6;pytorch2;cdnow;(32, 37, 2);32;train;mps;8.889293336868286;8.765061140060425;0.28200755427843;1.045731523378582
7;pytorch2;cdnow;(64, 37, 2);64;train;mps;4.644839859008789;4.534193277359009;0.2031800823062697;1.0094277108433731
8;pytorch2;cdnow;(128, 37, 2);128;train;mps;3.264670658111572;3.168459177017212;0.2389183063482126;1.2635542168674692
9;pytorch2;grocery;(32, 56, 2);32;train;mps;0.6975595951080322;0.630742073059082;0.1662956638474095;1.2888372093023257
10;pytorch2;grocery;(64, 56, 2);64;train;mps;0.4247585773468018;0.3552839756011963;0.1619763643950062;1.0322727272727272
11;pytorch2;grocery;(128, 56, 2);128;train;mps;0.3711677074432373;0.3087522983551025;0.1762135537544394;1.257272727272727
12;pytorch2;retail;(32, 51, 2);32;train;mps;3.69441978931427;3.5695548057556152;0.3319532020528982;1.272261904761904
13;pytorch2;retail;(64, 51, 2);64;train;mps;3.364874076843262;3.3052287101745605;0.1462324245405585;2.0707142857142857
14;pytorch2;retail;(128, 51, 2);128;train;mps;3.5721612691879274;3.5126888751983643;0.157596367086438;2.31857142857143

